Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
, RTGS Cr-KKBK0000958-CMR GREEN TECHNOLOGIES LIMITED-CMR GREEN TECHNOLOGIES LIMITED-KKBKR52026021900173366,," 2,770,159.50",, 19/02/2026, KKBKR52026021900173366, FORT
, RTGS Cr-KKBK0000958-CMR GREEN TECHNOLOGIES LIMITED-CMR GREEN TECHNOLOGIES LIMITED-KKBKR52026021900176777,," 2,444,110.20",, 19/02/2026, KKBKR52026021900176777, FORT
, SCOPE OVERSEAS-1100B0226015402,,,"-477,597.79", 19/02/2026, 602193526030," NETBANK, MUMBAI"
, AGGARWAL ALUMI-1100B0226015404,,,"-1,752,313.34", 19/02/2026, 602193526042," NETBANK, MUMBAI"
, MUNDHRA BROTHE-1100B0226015394,,,"-21,770.16", 19/02/2026, 602193526001," NETBANK, MUMBAI"
, SCOPE OVERSEAS-1100B0226015436,,,"-1,437,503.55", 19/02/2026, 602193706031," NETBANK, MUMBAI"
, BLUE OKTOPUS C-1100B0226015373,,,"-194,400.00", 19/02/2026, 602193507227," NETBANK, MUMBAI"
, PETHE INDUSTRI-1100B0226015365,,,"-23,557.50", 19/02/2026, 602193483684," NETBANK, MUMBAI"
, SHIB DASS AND -1100B0226015395,,,"-81,055.62", 19/02/2026, 602193526006," NETBANK, MUMBAI"
, KOHINOOR ENGIN-1100B0226015370,,,"-2,376.00", 19/02/2026, HDFCH00814374494," NETBANK, MUMBAI"
, M S NEW AASTHA-1100B0226015397,,,"-3,569.50", 19/02/2026, HDFCH00814375103," NETBANK, MUMBAI"
, Chhavi Road Li-1100B0226015379,,,"-11,880.00", 19/02/2026, HDFCH00814376932," NETBANK, MUMBAI"
, HOTEL NEW CLAS-1100B0226015396,,,"-22,971.00", 19/02/2026, HDFCH00814375104," NETBANK, MUMBAI"
, Avideep Indust-1100B0226015375,,,"-4,262.75", 19/02/2026, HDFCH00814373271," NETBANK, MUMBAI"
, Kalinga Air Ga-1100B0226015381,,,"-3,964.80", 19/02/2026, HDFCH00814376936," NETBANK, MUMBAI"
, Bansal Reprogr-1100B0226015376,,,"-20,100.26", 19/02/2026, HDFCH00814373272," NETBANK, MUMBAI"
, YOUNG EQUIPMEN-1100B0226015374,,,"-117,600.00", 19/02/2026, HDFCH00814373273," NETBANK, MUMBAI"
, Beco Internati-1100B0226015377,,,"-1,711.00", 19/02/2026, HDFCH00814375105," NETBANK, MUMBAI"
, Brahm Rishi En-1100B0226015378,,,"-7,080.00", 19/02/2026, HDFCH00814375106," NETBANK, MUMBAI"
, Shri Ganesh Tr-1100B0226015383,,,"-2,735.00", 19/02/2026, HDFCH00814376068," NETBANK, MUMBAI"
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026021917316693,," 10,000,000.00",, 19/02/2026, SBINR12026021917316693, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026021917316765,," 10,000,000.00",, 19/02/2026, SBINR12026021917316765, CMS TF WBO MUMBAI
, RTGS Cr ECMS-ICIC0000011-CMRLTD201LCU100931-SAVITA INDUSTRIES-140105001924,," 590,000.00",, 19/02/2026, ICICR42026021900578633, FORT
2/20/2026,Opening balance,"-71,160,254.43",,,,,
, IMPS CR ECMS-9211-CMRGR1100LCU101448-MGMETALS-920020057240920,," 209,161.00",, 20/02/2026, 605105667385, FARIDABAD HARYANA
, NEFT Cr ECMS-UTIB0002172-CMRGR1100LCU101448-M.G. METALS-920020057240920,," 992,890.00",, 20/02/2026, AXOIR05100900046, FORT
, FT Cr ECMS-CMRGR1100LCU101661-MOURYA ENTERPRISES-50200068028400,," 571,496.00",, 20/02/2026, HDFC3C166AE3607F," NETBANK, MUMBAI"
, Hamraj Enterpr-1100B0226015366,,,"-37,465.00", 20/02/2026, HDFCH00814538451," NETBANK, MUMBAI"
, M S JAY AMBE M-1100B0226015371,,,"-373,980.60", 20/02/2026, HDFCH00814537921," NETBANK, MUMBAI"
, ATIF TRADING C-1100B0226015401,,,"-2,240,109.52", 20/02/2026, HDFCH00814553167," NETBANK, MUMBAI"
, BABLI ENTERPRI-1100B0226015406,,,"-97,803.00", 20/02/2026, HDFCH00814553217," NETBANK, MUMBAI"
, M S SHIVAM ENT-1100B0226015398,,,"-48,594.56", 20/02/2026, HDFCH00814550653," NETBANK, MUMBAI"
, SHRI SHYAM MET-1100B0226015423,,,"-1,555,266.37", 20/02/2026, HDFCH00814550809," NETBANK, MUMBAI"
, JHALANI EXTRUS-1100B0226015413,,,"-1,726,688.56", 20/02/2026, HDFCH00814553257," NETBANK, MUMBAI"
, LINDE INDIA LI-1100B0226015372,,,"-14,124.60", 20/02/2026, HDFCH00814552490," NETBANK, MUMBAI"
, FIRST CARS PRI-1100B0226015409,,,"-22,487.99", 20/02/2026, HDFCH00814554463," NETBANK, MUMBAI"
, BHAGWATI ENTER-1100B0226015422,,,"-1,826,677.59", 20/02/2026, HDFCH00814551557," NETBANK, MUMBAI"
, Hindustan Petr-1100B0226015380,,,"-27,010.20", 20/02/2026, HDFCH00814552529," NETBANK, MUMBAI"
, RAPIDUE TECHNO-1100B0226015399,,,"-1,860,429.79", 20/02/2026, HDFCH00814551602," NETBANK, MUMBAI"
, FIRST CARS PRI-1100B0226015408,,,"-78,964.95", 20/02/2026, HDFCH00814555165," NETBANK, MUMBAI"
, Unique Furnace-1100B0226015386,,,"-43,660.00", 20/02/2026, HDFCH00814552566," NETBANK, MUMBAI"
, Shah Coal Depo-1100B0226015382,,,"-8,740.00", 20/02/2026, HDFCH00814554642," NETBANK, MUMBAI"
, BHARAT SCRAP F-1100B0226015418,,,"-1,923,300.51", 20/02/2026, HDFCH00814551657," NETBANK, MUMBAI"
, Continental Ea-1100B0226015388,,,"-121,097.02", 20/02/2026, HDFCH00814551732," NETBANK, MUMBAI"
, ANSH ENTERPRIS-1100B0226015403,,,"-209,087.40", 20/02/2026, HDFCH00814553594," NETBANK, MUMBAI"
, Scottish Chemi-1100B0226015391,,,"-348,378.80", 20/02/2026, HDFCH00814554684," NETBANK, MUMBAI"
, Digvijay Print-1100B0226015390,,,"-5,345.40", 20/02/2026, HDFCH00814553637," NETBANK, MUMBAI"
, JINDAL STEEL T-1100B0226015411,,,"-2,338,761.31", 20/02/2026, HDFCH00814552663," NETBANK, MUMBAI"
, UNIVERSAL META-1100B0226015416,,,"-1,274,679.90", 20/02/2026, HDFCH00814552678," NETBANK, MUMBAI"
, MAKE MY TRIP -1100B0226015407,,,"-20,706.00", 20/02/2026, HDFCH00814555507," NETBANK, MUMBAI"
, GENDA GAS AGEN-1100B0226015393,,,"-69,779.52", 20/02/2026, HDFCH00814550086," NETBANK, MUMBAI"
, Shree Bhawal M-1100B0226015389,,,"-39,181.43", 20/02/2026, HDFCH00814550091," NETBANK, MUMBAI"
, ALPHA METALS -1100B0226015420,,,"-1,476,838.86", 20/02/2026, HDFCH00814555539," NETBANK, MUMBAI"
, Axcel Gases-1100B0226015385,,,"-13,388.28", 20/02/2026, HDFCH00814552715," NETBANK, MUMBAI"
, NILKAMAL LIMIT-1100B0226015392,,,"-9,298.40", 20/02/2026, HDFCH00814552040," NETBANK, MUMBAI"
, Sharma Trading-1100B0226015387,,,"-75,710.78", 20/02/2026, HDFCH00814555574," NETBANK, MUMBAI"
, P.J. Networks -1100B0226015384,,,"-22,420.00", 20/02/2026, HDFCH00814558213," NETBANK, MUMBAI"
, NEFT Cr ECMS-CNRB0019251-CMRLTD152LCU101556-M S ENTERPRISES-92511400000402,," 515,000.00",, 20/02/2026, CNRBH00112011640, FORT
, RTGS Cr ECMS-SBIN0050771-CMRGR1100LSU101802-SAI TRADING CO-44748773564,," 1,000,000.00",, 20/02/2026, SBINR12026022017321131, FORT
, IMPS CR ECMS-9002-CMRGR1100LSU101802-9999203430Ravi-00000044748773564,," 135,000.00",, 20/02/2026, 605107999048, FARIDABAD HARYANA
, IMPS CR ECMS-9211-CMRGR1100LCU101110-OMNAMOMETAL-922020066935237,," 286,000.00",, 20/02/2026, 605106497000, FARIDABAD HARYANA
, GST/Bank Reference No: E2605170745461/CIN No: HDFC26020600113183,,,"-582,649.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170745460/CIN No: HDFC26020900310720,,,"-198,545.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170745462/CIN No: HDFC26020500034968,,,"-532,094.00", 20/02/2026,," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 44,500.00",, 20/02/2026, 605141052799, FARIDABAD HARYANA
, GST/Bank Reference No: E2605170747514/CIN No: HDFC26020900338174,,,"-108,164.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170747515/CIN No: HDFC26020600126249,,,"-431,068.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170747518/CIN No: HDFC26020600125838,,,"-1,589,616.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170747517/CIN No: HDFC26020600130333,,,"-311,430.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170747516/CIN No: HDFC26022400360186,,,"-199,182.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170747525/CIN No: HDFC26020600125960,,,"-1,092,226.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170747526/CIN No: HDFC26020900337529,,,"-703,125.00", 20/02/2026,," NETBANK, MUMBAI"
, Trans Asian Sh-1100B0226015458,,,"-164,518.08", 20/02/2026, 602204368845," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226015457,,,"-1,365,628.28", 20/02/2026, HDFCH00815348359," NETBANK, MUMBAI"
, PROLOGIS FREIG-1100B0226015459,,,"-102,923.84", 20/02/2026, HDFCH00815349260," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226015460,,,"-433,349.10", 20/02/2026, HDFCH00815348363," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226015455,,,"-2,338,463.82", 20/02/2026, HDFCH00815346640," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226015456,,,"-1,164,553.80", 20/02/2026, HDFCH00815350368," NETBANK, MUMBAI"
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101760-NIA METALS-3347508444,," 276,000.00",, 20/02/2026, KKBKR52026022000844733, FORT
, INW 190226I049900291 USD25960.15@90.94,," 2,360,816.04",, 20/02/2026, 200226242210," NETBANK, MUMBAI"
, 190226I049900291 DPO2605104046808 IGST,,,"-1,234.95", 20/02/2026, 200226242217," NETBANK, MUMBAI"
, RTGS Cr-UTIB0000039-CMR GREEN TECHNOLOGIES LIMITED FORMERLY-CENTURY METAL RECYCLING LIMITE-UTIBR62026022058103127,," 50,000,000.00",, 20/02/2026, UTIBR62026022058103127, CMS TF WBO MUMBAI
, IMPS CR ECMS-9015-CMRGR1100LCU101497-M S MISHKA-125008337385,, 100.00,, 20/02/2026, 605116572286, FARIDABAD HARYANA
, 57500000342857-2857,,,"-135,000,000.00", 20/02/2026, 602204725200," NETBANK, MUMBAI"
, 57500000478667-SMT,,,"-61,975.00", 20/02/2026, 602204754209," NETBANK, MUMBAI"
, RTGS Cr ECMS-ICIC0000011-CMRGR1100LCU101832-MANOJ TRADING CO.-235451000006,," 2,443,000.00",, 20/02/2026, ICICR42026022000552999, FORT
, GST/Bank Reference No: E2605170804624/CIN No: HDFC26020600204225,,,"-9,660,525.00", 20/02/2026,," NETBANK, MUMBAI"
, GST/Bank Reference No: E2605170804623/CIN No: HDFC26020600204000,,,"-9,660,525.00", 20/02/2026,," NETBANK, MUMBAI"
, IMPS CR ECMS-9765-CMRGR1100LCU101791-M R TRADERS-2502219264656841,," 20,000.00",, 20/02/2026, 605116235219, FARIDABAD HARYANA
, NEFT Cr ECMS-IDFB0021314-cmrgr1100lcu101943-M.R. TRADING CO.-89650005280,," 400,000.00",, 20/02/2026, IDFB605166424921, FORT
, IMPS CR ECMS-9765-CMRGR1100LCU101791-M R TRADERS-2502219264656841,," 6,300.00",, 20/02/2026, 605116242474, FARIDABAD HARYANA
, FT- 1479451453 - 0023021270 - 57500000579710 -RICO AUTO INDUSTRIES LTD,," 13,036,759.92",, 20/02/2026, 1479451453, CBX Internet System Mumbai
, FCY OUTWARD REMITTANCE,,,"-129,574.88", 20/02/2026, 612FT01260510100," KUNDLI, SONEPAT"
, FCY OUTWARD REMITTANCE,,,"-95,379.45", 20/02/2026, 612FT01260510116," KUNDLI, SONEPAT"
, NEFT Cr ECMS-BKID0000200-CMRGR1100LCU101880-AKHILESH FABRICATOR-673520110000226,," 590,000.00",, 20/02/2026, BKIDP26051351867, FORT
, RTGS Cr ECMS-UTIB0002437-CMRLTD151LCU101262-MAHAKAL ENTERPRISES-921020020261421,," 600,000.00",, 20/02/2026, UTIBR72026022000579036, FORT
, FT602205285914-CMR ALUMINIUM PRIVATE LTD FT 0028-57500000540028,," 10,000,000.00",, 20/02/2026, 602205285914," NETBANK, MUMBAI"
, NEFT Cr ECMS-AUBL0002011-CMRGE1100LCU101987-S K TRADING CO-2602246710340760,," 100,000.00",, 20/02/2026, AUBLH05123258935, FORT
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026022017458892,," 10,000,000.00",, 20/02/2026, SBINR12026022017458892, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-M s Century Metal Recycling Private-Century Metal Rceycling Pvt Ltd-SBINR12026022017458839,," 10,000,000.00",, 20/02/2026, SBINR12026022017458839, CMS TF WBO MUMBAI
, RTGS Cr-UTIB0000039-CMR GREEN TECHNOLOGIES LIMITED FORMERLY-CENTURY METAL RECYCLING LIMITE-UTIBR62026022058212813,," 3,260,000.00",, 20/02/2026, UTIBR62026022058212813, CMS TF WBO MUMBAI
, RTGS Cr-UTIB0000039-CMR GREEN TECHNOLOGIES LIMITED FORMERLY-CENTURY METAL RECYCLING LIMITE-UTIBR62026022058211708,," 9,900,000.00",, 20/02/2026, UTIBR62026022058211708, CMS TF WBO MUMBAI
, RTGS Cr-UTIB0000039-CMR GREEN TECHNOLOGIES LIMITED FORMERLY-CENTURY METAL RECYCLING LIMITE-UTIBR62026022058211712,," 9,900,000.00",, 20/02/2026, UTIBR62026022058211712, CMS TF WBO MUMBAI
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 8,641,460.97",, 20/02/2026,, FARIDABAD HARYANA
2/21/2026,Opening balance,"-119,708,497.04",,,,,
, RTGS Cr ECMS-ICIC0000011-CMRLTD201LCU100490-M K TRADERS CASTING-661305500712,," 600,000.00",, 21/02/2026, ICICR42026022100502226, FORT
, RTGS Cr ECMS-INDB0000098-CMRGR1100LCU101587-RITIKA TRADING COMPANY-259716215100,," 846,178.00",, 21/02/2026, INDBR32026022100562923, FORT
, FT Cr ECMS-CMRGR1100LCU101564-SUNLITE RECYCLING INDUSTRIES L-50200073104369,," 24,241,212.00",, 21/02/2026, 1480468763, CBX Internet System Mumbai
, RTGS Cr ECMS-ICIC0003581-CMRGR1100LSU102994-U P GREEN RECYCLING CO-358105500284,," 2,000,000.00",, 21/02/2026, ICICR52026022100496523, FORT
, Hyundai Mercha-1100B0226015466,,,"-39,255.95", 21/02/2026, HDFCH00816957813," NETBANK, MUMBAI"
, One Time Busin-1100B0226015469,,,"-23,408.00", 21/02/2026, HDFCH00816951960," NETBANK, MUMBAI"
, INDIA INTERNAT-1100B0226015480,,,"-99,018.00", 21/02/2026, HDFCH00816957123," NETBANK, MUMBAI"
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 42,500.00",, 21/02/2026, 605241259625, FARIDABAD HARYANA
, IMPS CR ECMS-9052-CMRGR1100LCU101769-AMAN ENTERPRISES-0667202500004701,," 6,800.00",, 21/02/2026, 605241274833, FARIDABAD HARYANA
, IMPS CR ECMS-9751-CMRLTD201LCU100393-J V K ENTERPRISES-50000019860,," 184,000.00",, 21/02/2026, 605214608958, FARIDABAD HARYANA
, COMM ON LIQD OF IMP COLL BILL,,,-177, 21/02/2026, 612BC05260520003," KUNDLI, SONEPAT"
, RTGS Cr ECMS-UTIB0002437-CMRLTD151LCU101497-M/S MISHKA ENTERPRISES-922020029366005,," 750,000.00",, 21/02/2026, UTIBR72026022100575707, FORT
, IMPS CR ECMS-9211-CMRLTD151LCU101497-MSMISHKAENTERPRISES-922020029366005,," 500,000.00",, 21/02/2026, 605211125643, FARIDABAD HARYANA
, RTGS Cr ECMS-SVCB0000252-CMRLTD151LCU101330-OM TRADING-300002000005017,," 576,000.00",, 21/02/2026, SVCBR52026022100391489, FORT
, FT Cr ECMS-CMRGR1100LCU101929-DV GLOBEX-50200110299090,," 1,000,000.00",, 21/02/2026, NBYO63LL4BPEE5ZZ," NETBANK, MUMBAI"
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574376,," 10,000,000.00",, 21/02/2026, SBINR12026022117574376, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574375,," 10,000,000.00",, 21/02/2026, SBINR12026022117574375, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574374,," 10,000,000.00",, 21/02/2026, SBINR12026022117574374, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574377,," 10,000,000.00",, 21/02/2026, SBINR12026022117574377, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574387,," 10,000,000.00",, 21/02/2026, SBINR12026022117574387, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574386,," 10,000,000.00",, 21/02/2026, SBINR12026022117574386, CMS TF WBO MUMBAI
, RTGS Cr-SBIN0004298-CMR NIKKEI INDIA PVT LTD-Century Metal Recycling Limited-SBINR12026022117574388,," 10,000,000.00",, 21/02/2026, SBINR12026022117574388, CMS TF WBO MUMBAI
, RTGS Cr-UTIB0000039-CMR GREEN TECHNOLOGIES LIMITED FORMERLY-CENTURY METAL RECYCLING LIMITE-UTIBR62026022158417001,," 1,528,000.00",, 21/02/2026, UTIBR62026022158417001, FORT
2/22/2026,Opening balance,"-17,595,665.99",,,,,
, FT Cr ECMS-CMRGR1100LCU100335-REHAN TRADERS-50200087498200,," 380,000.00",, 22/02/2026, HDFCE157E28E7DDD," NETBANK, MUMBAI"
, RTGS Cr ECMS-ICIC0000011-CMRLTD151LCU101487-MAYA ENTERPRISES-140105001960,," 580,000.00",, 22/02/2026, ICICR42026022200508474, FORT
, RTGS Cr ECMS-CNRB0008423-CMRGR1100LCU101497-M S MISHKA-125008337385,," 750,000.00",, 22/02/2026, CNRBR52026022278226007, FORT
, RTGS Cr ECMS-UTIB0002437-CMRLTD151LCU101262-MAHAKAL ENTERPRISES-921020020261421,," 600,000.00",, 22/02/2026, UTIBR72026022200572875, FORT
, RTGS Cr ECMS-ICIC0000011-CMRLTD201LCU100490-M K TRADERS CASTING-661305500712,," 580,000.00",, 22/02/2026, ICICR42026022200513738, FORT
2/23/2026,Opening balance,"-14,705,665.99",,,,,
, RTGS Cr ECMS-ICIC0000011-CMRLTD151LCU101618-MAHAKALESHWAR ENTERPRISES-779405000110,," 590,000.00",, 23/02/2026, ICICR42026022300502545, FORT
, FT Cr ECMS-CMRLTD152LCU101434-AMIT ALLOYS COMPANY-99997635077350,," 190,500.00",, 23/02/2026, NBAMBJJFDLPYFPAQ," NETBANK, MUMBAI"
, FT Cr ECMS-CMRGR1100LCU100335-REHAN TRADERS-50200087498200,," 753,500.00",, 23/02/2026, HDFCD04D6994A1F0," NETBANK, MUMBAI"
, FT Cr ECMS-CMRGR1100LCU100221-NIYAZ MOHD TRADING AND CASTING-59209813362326,," 538,000.00",, 23/02/2026, NBLTT2TTGG1LSNBX," NETBANK, MUMBAI"
, RTGS Cr ECMS-CNRB0019260-CMRGR1100LSU101904-SAWA ENTERPRISES-125005017703,," 430,900.00",, 23/02/2026, CNRBR52026022378234883, FORT
, FT Cr ECMS-CMRGR1100LCU101564-SUNLITE RECYCLING INDUSTRIES L-50200073104369,," 24,241,212.00",, 23/02/2026, 1482241152, CBX Internet System Mumbai
, RTGS Cr ECMS-ICIC0000011-CMRLTD151LCU101326-VIPUL ENTERPRISE-348605000307,," 2,576,130.00",, 23/02/2026, ICICR42026022300512195, FORT
, RTGS Cr ECMS-ICIC0000011-CMRLTD151LCU101326-VIPUL ENTERPRISE-348605000307,," 2,500,000.00",, 23/02/2026, ICICR42026022300512577, FORT
, RTGS Cr ECMS-ICIC0000011-CMRLTD151LCU101326-VIPUL ENTERPRISE-348605000307,," 1,300,000.00",, 23/02/2026, ICICR42026022300512921, FORT
, IMPS CR ECMS-9485-CMRGR1100LCU101962-URBAN METALS REPBIN COMPANY-6450815799,," 500,000.00",, 23/02/2026, 605412927221, FARIDABAD HARYANA
, NEFT Cr ECMS-CNRB0019260-CMRGE1100LCU101988-YASHASVI ENTERPRISES-120038713154,," 100,000.00",, 23/02/2026, CNRBH00112581068, FORT
, IMPS CR ECMS-9485-CMRGR1100LCU101962-URBAN METALS REPBIN COMPANY-6450815799,," 500,000.00",, 23/02/2026, 605412929414, FARIDABAD HARYANA
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,372,000.00",, 23/02/2026, NBDDWIRQBS1JNNCA," NETBANK, MUMBAI"
, IMPS CR ECMS-9015-CMRLTD201LCU100837-PRATEEK METALS RECYC-94533070001899,," 500,000.00",, 23/02/2026, 605412210175, FARIDABAD HARYANA
, FT Cr ECMS-CMRGR1100LCU101982-BAHUBALI NAMO METALLOYS LLP-50200112148180,," 10,000.00",, 23/02/2026, 1482534743, CBX Internet System Mumbai
, Emirates Shipp-1100B0226015609,,,"-7,670.00", 23/02/2026, HDFCH00819081676," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226015544,,,"-807,792.60", 23/02/2026, HDFCH00819087206," NETBANK, MUMBAI"
, Emirates Shipp-1100B0226015612,,,"-150,184.50", 23/02/2026, HDFCH00819081680," NETBANK, MUMBAI"
, Emirates Shipp-1100B0226015613,,,-590, 23/02/2026, HDFCH00819088116," NETBANK, MUMBAI"
, Hyundai Mercha-1100B0226015633,,,"-171,786.76", 23/02/2026, HDFCH00819090689," NETBANK, MUMBAI"
, Ocean Network -1100B0226015623,,,"-321,328.16", 23/02/2026, HDFCH00819088118," NETBANK, MUMBAI"
, Ocean Network -1100B0226015617,,,"-601,954.58", 23/02/2026, HDFCH00819088962," NETBANK, MUMBAI"
, Maersk Line In-1100B0226015616,,,"-379,437.26", 23/02/2026, HDFCH00819088964," NETBANK, MUMBAI"
, IMPS CR ECMS-9015-CMRLTD201LCU100837-DHARMENDRA SINGH-94532200010284,," 13,070.00",, 23/02/2026, 605413221290, FARIDABAD HARYANA
, RTGS Cr ECMS-UTIB0001602-CMRLTD201LCU100885-BALAJI METAL-919020028918184,," 1,222,000.00",, 23/02/2026, UTIBR72026022300574340, FORT
, NEFT Cr ECMS-KKBK0000958-CMRGE1100LCU101962-URBAN METALS REPBIN COMPANY-6450815799,," 121,000.00",, 23/02/2026, KKBKH26054877601, FORT
, FT602236308634-CMR ALUMINIUM PRIVATE LTD FT 0028-57500000540028,," 20,000,000.00",, 23/02/2026, 602236308634," NETBANK, MUMBAI"
, FT602236308202-CMR NIKKEI INDIA PVT LTD 1274 FT-00930310001274,," 70,000,000.00",, 23/02/2026, 602236308202," NETBANK, MUMBAI"
, 57500000342857-2857,,,"-216,000,000.00", 23/02/2026, 602236309784," NETBANK, MUMBAI"
, RTGS Cr ECMS-YESB0000001-CMRGR1100LCU101972-SUN SHINE ENTERPRISES-048761900000594,," 430,000.00",, 23/02/2026, YESBR12026022300036413, FORT
, CCH3HA21CS0505_MGVC-BILLMGVEC,,,"-736,073.18", 23/02/2026, 602236299762," NETBANK, MUMBAI"
, RTGS Cr-KKBK0000958-CMR GREEN TECHNOLOGIES LIMITED-CMR GREEN TECHNOLOGIES LIMITED-KKBKR52026022300336009,," 30,938,163.94",, 23/02/2026, KKBKR52026022300336009, FORT
, CJ DARCL LOGIS-1100B0226015604,,,"-232,467.37", 23/02/2026, HDFCH00819475472," NETBANK, MUMBAI"
, TREIS SOLUTION-1100B0226015596,,,"-130,844.08", 23/02/2026, HDFCH00819475479," NETBANK, MUMBAI"
, CJ DARCL LOGIS-1100B0226015601,,,"-18,479.08", 23/02/2026, HDFCH00819473860," NETBANK, MUMBAI"
, Ocean Network -1100B0226015652,,,"-28,320.00", 23/02/2026, HDFCH00819475484," NETBANK, MUMBAI"
, INW 210226I049905221 USD15625.0@90.71,," 1,417,343.75",, 23/02/2026, 230226251582," NETBANK, MUMBAI"
, 210226I049905221 DPO2605412147491 IGST,,,"-1,065.12", 23/02/2026, 230226251589," NETBANK, MUMBAI"
, RTGS Cr-SCBL0036001-SUNBEAM LIGHTWEIGHTING SOLUTIONS PR-CMR GREEN TECHNOLOGIES LIMITED-SCBLR12026022300815870,," 49,799,052.83",, 23/02/2026, SCBLR12026022300815870, FORT
, COMM ON LIQD OF IMP COLL BILL,,,-177, 23/02/2026, 612BC05260540002," KUNDLI, SONEPAT"
, RTGS Cr ECMS-CNRB0008423-CMRGR1100LCU101497-M S MISHKA-125008337385,," 650,000.00",, 23/02/2026, CNRBR52026022378322977, FORT
, COMM ON LIQD OF IMP COLL BILL,,,-177, 23/02/2026, 612BC05260540003," KUNDLI, SONEPAT"
, COMM ON IMPORT LC ISSUED,,,"-18,744.30", 23/02/2026, 612SBBC260540004," KUNDLI, SONEPAT"
, COMM ON IMPORT LC ISSUED,,,"-10,140.92", 23/02/2026, 612SBBC260540003," KUNDLI, SONEPAT"
, COMM ON IMPORT LC ISSUED,,,"-19,674.14", 23/02/2026, 612SBBC260540002," KUNDLI, SONEPAT"
, COMM ON IMPORT LC ISSUED,,,"-67,006.30", 23/02/2026, 612SBBC260540001," KUNDLI, SONEPAT"
," RTGS Dr-ICIC0006303-CENTURYMETALRECYCLINGLIMITED-NETBANK, MUM-HDFCR52026022373560170",,,"-35,739,000.00", 23/02/2026, HDFCR52026022373560170," NETBANK, MUMBAI"
, FT CR ECMS-CMRGE1100LCU101954-HARIHAR METCORP-50200088553017,," 1,619,656.00",, 23/02/2026, 000029, SHASTRIPURAM
, NEFT Cr ECMS-IDFB0021314-cmrgr1100lcu101943-M.R. TRADING CO.-89650005280,," 500,000.00",, 23/02/2026, IDFB605467120986, FORT
, RTGS Cr ECMS-UTIB0003202-CMRGR1100LCU101763-MATHURIA TRADERS-924020041901864,," 891,170.00",, 23/02/2026, UTIBR72026022300578394, FORT
, INW 180226I049910267 USD124.9@90.81,," 11,342.17",, 23/02/2026, 230226287710," NETBANK, MUMBAI"
, 180226I049910267 DPO2605412163173 IGST,,,-45, 23/02/2026, 230226287717," NETBANK, MUMBAI"
, INW 190226I049906999 USD3960.0@90.81,," 359,607.60",, 23/02/2026, 230226287926," NETBANK, MUMBAI"
, 190226I049906999 DPO2605412163227 IGST,,,-413.65, 23/02/2026, 230226287933," NETBANK, MUMBAI"
