Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
," RTGS Dr-HSBC0110002-CENTURYMETALRECYCLINGLIMITED-NETBANK, MUM-HDFCR52026012260515980",,,"-179,540,000.00", 22/01/2026, HDFCR52026012260515980," NETBANK, MUMBAI"
, LIQUIDATION OF IMP COLL BILL,,,"-3,092,613.30", 22/01/2026, 612BC05260090002," KUNDLI, SONEPAT"
, LIQUIDATION OF IMP COLL BILL,,,"-5,451,678.93", 22/01/2026, 612BC05260190003," KUNDLI, SONEPAT"
, COMM ON IMPORT LC ISSUED,,,"-67,962.10", 22/01/2026, 612SBBC260220002," KUNDLI, SONEPAT"
, COMM ON IMPORT LC ISSUED,,,"-20,362.08", 22/01/2026, 612SBBC260220001," KUNDLI, SONEPAT"
, IMPS CR ECMS-9002-CMRGR1100LCU101714-Md Nazrullah-40564261203,," 49,000.00",, 22/01/2026, 602221554519, FARIDABAD HARYANA
, RTGS Cr ECMS-ICIC0000011-CMRLTD201LCU100931-SAVITA INDUSTRIES-140105001924,," 570,000.00",, 22/01/2026, ICICR42026012200588568, FORT
, FT601223282495-CMR NLM ECO ALUMINIUM P L 3497 FT-57500000863497,," 9,000,000.00",, 22/01/2026, 601223282495," NETBANK, MUMBAI"
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 68,430,486.40",, 22/01/2026,, FARIDABAD HARYANA
1/23/2026,Opening balance,"-50,831,824.07",,,,,
, IMPS CR ECMS-9229-CMRGR1100LCU101714-MD ULFATULLAH-102501520991,," 100,000.00",, 23/01/2026, 602305927435, FARIDABAD HARYANA
, RTGS Cr ECMS-UTIB0003202-CMRGR1100LCU101763-MATHURIA TRADERS-924020041901864,," 777,054.00",, 23/01/2026, UTIBR72026012300570246, FORT
, RTGS Cr ECMS-ICIC0000011-CMRLTD151LCU101618-MAHAKALESHWAR ENTERPRISES-779405000110,," 560,000.00",, 23/01/2026, ICICR42026012300501921, FORT
, IMPS CR ECMS-9002-CMRGR1100LCU101714-Md Nazrullah-40564261203,," 18,000.00",, 23/01/2026, 602308636899, FARIDABAD HARYANA
, RTGS Cr ECMS-UTIB0003202-CMRGR1100LCU101763-MATHURIA TRADERS-924020041901864,," 865,247.00",, 23/01/2026, UTIBR72026012300570595, FORT
, RTGS Cr ECMS-CNRB0019260-CMRGR1100LCU101620-RITIK TRADING COMPAN-120017944599,," 750,000.00",, 23/01/2026, CNRBR52026012375605576, FORT
, RTGS Cr ECMS-KVBL0002101-CMRGR1100LCU100305-SARA METAL-4204280000000512,," 270,000.00",, 23/01/2026, KVBLR52026012363471389, FORT
